code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines
1888212,TRUE,MINAMI Moeka,MINAMI M,MINAMI Moeka,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,172,0,['Football']
1888214,TRUE,KUMAGAI Saki,KUMAGAI S,KUMAGAI Saki,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,173,0,['Football']
1888219,TRUE,SHIMIZU Risa,SHIMIZU R,SHIMIZU Risa,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,160,0,['Football']
1888267,TRUE,CHEN Yi-Tung,CHEN YT,CHEN Yi-Tung,Male,Athlete,TPE,Chinese Taipei,Chinese Taipei,Chinese Taipei,Chinese Taipei,TPE,0,0,['Fencing']
1888312,TRUE,OGAWA Rika,OGAWA R,OGAWA Rika,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888314,TRUE,HASEGAWA Miyu,HASEGAWA M,HASEGAWA Miyu,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888323,TRUE,KOBAYAKAWA Shiho,KOBAYAKAWA S,KOBAYAKAWA Shiho,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888326,TRUE,URATA Kana,URATA K,URATA Kana,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888328,TRUE,NAKAMURA Eika,NAKAMURA E,NAKAMURA Eika,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888330,TRUE,TANAKA Saki,TANAKA S,TANAKA Saki,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888331,TRUE,SHIMADA Amiru,SHIMADA A,SHIMADA Amiru,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888334,TRUE,SUZUKI Miyu,SUZUKI M,SUZUKI Miyu,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888337,TRUE,TORIYAMA Mai,TORIYAMA M,TORIYAMA Mai,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888339,TRUE,MORI Kanon,MORI K,MORI Kanon,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888341,TRUE,OMOTO Sakurako,OMOTO S,OMOTO Sakurako,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888343,TRUE,KOZUKA Miki,KOZUKA M,KOZUKA Miki,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888346,TRUE,OIKAWA Shihori,OIKAWA S,OIKAWA Shihori,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888348,TRUE,ASAI Yu,ASAI Y,ASAI Yu,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888349,TRUE,NAGAI Hazuki,NAGAI H,NAGAI Hazuki,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888351,TRUE,NAGAI Yuri,NAGAI Y,NAGAI Yuri,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Hockey']
1888365,TRUE,ABDELBARY Farida,ABDELBARY F,Farida ABDELBARY,Female,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,0,0,['Artistic Swimming']
1888388,TRUE,ANASTASSIOU Lucie,ANASTASSIOU L,Lucie ANASTASSIOU,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888389,TRUE,AUFRERE Romain,AUFRERE R,Romain AUFRERE,Male,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888394,TRUE,BESSAGUET Clement,BESSAGUET C,Clement BESSAGUET,Male,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888404,TRUE,CORMENIER Carole,CORMENIER C,Carole CORMENIER,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888406,TRUE,COUZY Melanie,COUZY M,Melanie COUZY,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888409,TRUE,DELAUNAY Eric,DELAUNAY E,Eric DELAUNAY,Male,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888414,TRUE,FOUQUET Florian,FOUQUET F,Florian FOUQUET,Male,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888422,TRUE,GOMEZ Judith,GOMEZ J,Judith GOMEZ,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888423,TRUE,GUERRERO Sebastien,GUERRERO S,Sebastien GUERRERO,Male,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888426,TRUE,HERBULOT Manon,HERBULOT M,Manon HERBULOT,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888429,TRUE,JEDRZEJEWSKI Camille,JEDRZEJEWSKI C,Camille JEDRZEJEWSKI,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888433,TRUE,KRYZS Lucas Bernard Denis,KRYZS LBD,Lucas Bernard Denis KRYZS,Male,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888434,TRUE,LAMOLLE Mathilde,LAMOLLE M,Mathilde LAMOLLE,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888438,TRUE,MULLER Oceanne,MULLER O,Oceanne MULLER,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
1888443,TRUE,QUIQUAMPOIX Jean,QUIQUAMPOIX J,Jean QUIQUAMPOIX,Male,Athlete,FRA,France,France,France,France,FRA,0,0,['Shooting']
